study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	cram_index_ftp	cram_index_aspera	cram_index_galaxy	sample_alias	broker_name	sample_title	nominal_sdev	first_created
PRJEB44699	ERP128771	SAMEA8663626	ERS6348161	ERX5507972	ERR5862095	ERA4144795	496922	coral metagenome	ILLUMINA	Illumina MiSeq	unspecified	300	PAIRED	AMPLICON	METATRANSCRIPTOMIC	PCR	84630	24668131	King Abdullah University of Science and Technology	2021-11-04	2021-11-04	Illumina MiSeq paired end sequencing	16S rDNA- and rRNA-based amplicon sequencing to study the effects of ocean acidification on resident and active microbial communities of Stylophora pistillata	ena-STUDY-KAUST-30-04-2021-17:41:10:119-47	ena-EXPERIMENT-KAUST-30-04-2021-17:41:07:158-1	ena-RUN-KAUST-30-04-2021-17:41:07:158-1	5621921;8069515	706286a338caeb617ebd4cde002ccee5;29e4db6dc0a602c678cd23c625f226f6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR586/005/ERR5862095/ERR5862095_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR586/005/ERR5862095/ERR5862095_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR586/005/ERR5862095/ERR5862095_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR586/005/ERR5862095/ERR5862095_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR586/005/ERR5862095/ERR5862095_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR586/005/ERR5862095/ERR5862095_2.fastq.gz	7651529;10419854	bf166b61a6e536f54b5c28d9c90319a2;6cb6bb281f18ed126e7f4dfb3b24c908	ftp.sra.ebi.ac.uk/vol1/run/ERR586/ERR5862095/c10_c10_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR586/ERR5862095/c10_c10_L001_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR586/ERR5862095/c10_c10_L001_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR586/ERR5862095/c10_c10_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR586/ERR5862095/c10_c10_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR586/ERR5862095/c10_c10_L001_R2_001.fastq.gz	FASTQ;FASTQ									C10		RNA sample from pH 8 treatment	0	2021-04-30
PRJEB44699	ERP128771	SAMEA8663627	ERS6348162	ERX5507973	ERR5862096	ERA4144795	496922	coral metagenome	ILLUMINA	Illumina MiSeq	unspecified	300	PAIRED	AMPLICON	METATRANSCRIPTOMIC	PCR	253004	73552161	King Abdullah University of Science and Technology	2021-11-04	2021-11-04	Illumina MiSeq paired end sequencing	16S rDNA- and rRNA-based amplicon sequencing to study the effects of ocean acidification on resident and active microbial communities of Stylophora pistillata	ena-STUDY-KAUST-30-04-2021-17:41:10:119-47	ena-EXPERIMENT-KAUST-30-04-2021-17:41:07:158-2	ena-RUN-KAUST-30-04-2021-17:41:07:158-2	17202463;24293969	c83f542d3ad167dce1c45c61537f1885;0f8912bff90a66cfdfe0a828a4fe3bb3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR586/006/ERR5862096/ERR5862096_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR586/006/ERR5862096/ERR5862096_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR586/006/ERR5862096/ERR5862096_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR586/006/ERR5862096/ERR5862096_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR586/006/ERR5862096/ERR5862096_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR586/006/ERR5862096/ERR5862096_2.fastq.gz	23576683;31612839	ce963fb2ebaf13912b4268c4a30881a9;10f4ef420f95ec3cd9a5bf6b50b8bb45	ftp.sra.ebi.ac.uk/vol1/run/ERR586/ERR5862096/c11_c11_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR586/ERR5862096/c11_c11_L001_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR586/ERR5862096/c11_c11_L001_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR586/ERR5862096/c11_c11_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR586/ERR5862096/c11_c11_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR586/ERR5862096/c11_c11_L001_R2_001.fastq.gz	FASTQ;FASTQ									C11		RNA sample from pH 8 treatment	0	2021-04-30
PRJEB44699	ERP128771	SAMEA8663628	ERS6348163	ERX5507974	ERR5862097	ERA4144795	496922	coral metagenome	ILLUMINA	Illumina MiSeq	unspecified	300	PAIRED	AMPLICON	METATRANSCRIPTOMIC	PCR	130758	37608058	King Abdullah University of Science and Technology	2021-11-04	2021-11-04	Illumina MiSeq paired end sequencing	16S rDNA- and rRNA-based amplicon sequencing to study the effects of ocean acidification on resident and active microbial communities of Stylophora pistillata	ena-STUDY-KAUST-30-04-2021-17:41:10:119-47	ena-EXPERIMENT-KAUST-30-04-2021-17:41:07:158-3	ena-RUN-KAUST-30-04-2021-17:41:07:158-3	9310596;12560474	6e30ccbeaadf3e5d810740418c86cd51;019c64439a2c20ff2815c04d94142e3e	ftp.sra.ebi.ac.uk/vol1/fastq/ERR586/007/ERR5862097/ERR5862097_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR586/007/ERR5862097/ERR5862097_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR586/007/ERR5862097/ERR5862097_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR586/007/ERR5862097/ERR5862097_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR586/007/ERR5862097/ERR5862097_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR586/007/ERR5862097/ERR5862097_2.fastq.gz	12562282;16205391	4c62af28d76a326e1ceb5cbc72a48a19;18f150fc90ddc770393b1caecb2aeb6e	ftp.sra.ebi.ac.uk/vol1/run/ERR586/ERR5862097/c12_c12_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR586/ERR5862097/c12_c12_L001_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR586/ERR5862097/c12_c12_L001_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR586/ERR5862097/c12_c12_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR586/ERR5862097/c12_c12_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR586/ERR5862097/c12_c12_L001_R2_001.fastq.gz	FASTQ;FASTQ									C12		RNA sample from pH 8 treatment	0	2021-04-30
PRJEB44699	ERP128771	SAMEA8663629	ERS6348164	ERX5507975	ERR5862098	ERA4144795	496922	coral metagenome	ILLUMINA	Illumina MiSeq	unspecified	300	PAIRED	AMPLICON	METATRANSCRIPTOMIC	PCR	255110	73106692	King Abdullah University of Science and Technology	2021-11-04	2021-11-04	Illumina MiSeq paired end sequencing	16S rDNA- and rRNA-based amplicon sequencing to study the effects of ocean acidification on resident and active microbial communities of Stylophora pistillata	ena-STUDY-KAUST-30-04-2021-17:41:10:119-47	ena-EXPERIMENT-KAUST-30-04-2021-17:41:07:158-4	ena-RUN-KAUST-30-04-2021-17:41:07:158-4	15714057;22758439	403818a51460443e934b47c80443c4c1;a2e409138303e0593806e9536524cabf	ftp.sra.ebi.ac.uk/vol1/fastq/ERR586/008/ERR5862098/ERR5862098_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR586/008/ERR5862098/ERR5862098_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR586/008/ERR5862098/ERR5862098_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR586/008/ERR5862098/ERR5862098_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR586/008/ERR5862098/ERR5862098_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR586/008/ERR5862098/ERR5862098_2.fastq.gz	20376024;28728690	1345acd27c5305febea6a6a809a01e79;0eb9b06f0811b8c1e87049576e785f2e	ftp.sra.ebi.ac.uk/vol1/run/ERR586/ERR5862098/c1_c1_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR586/ERR5862098/c1_c1_L001_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR586/ERR5862098/c1_c1_L001_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR586/ERR5862098/c1_c1_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR586/ERR5862098/c1_c1_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR586/ERR5862098/c1_c1_L001_R2_001.fastq.gz	FASTQ;FASTQ									C01		RNA sample from pH 7.2 treatment	0	2021-04-30
PRJEB44699	ERP128771	SAMEA8663630	ERS6348165	ERX5507976	ERR5862099	ERA4144795	496922	coral metagenome	ILLUMINA	Illumina MiSeq	unspecified	300	PAIRED	AMPLICON	METATRANSCRIPTOMIC	PCR	293864	85726650	King Abdullah University of Science and Technology	2021-11-04	2021-11-04	Illumina MiSeq paired end sequencing	16S rDNA- and rRNA-based amplicon sequencing to study the effects of ocean acidification on resident and active microbial communities of Stylophora pistillata	ena-STUDY-KAUST-30-04-2021-17:41:10:119-47	ena-EXPERIMENT-KAUST-30-04-2021-17:41:07:158-5	ena-RUN-KAUST-30-04-2021-17:41:07:158-5	18069610;26475028	7d1370c929fa84c5240ea2b456036d41;adb842d02d0947b7c7445b32e1984f53	ftp.sra.ebi.ac.uk/vol1/fastq/ERR586/009/ERR5862099/ERR5862099_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR586/009/ERR5862099/ERR5862099_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR586/009/ERR5862099/ERR5862099_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR586/009/ERR5862099/ERR5862099_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR586/009/ERR5862099/ERR5862099_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR586/009/ERR5862099/ERR5862099_2.fastq.gz	24491585;34399204	aa821c3032d18c37ed7093609f6c8017;414151b7a6ae9d83ab3b7785b0a3c475	ftp.sra.ebi.ac.uk/vol1/run/ERR586/ERR5862099/c2_c2_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR586/ERR5862099/c2_c2_L001_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR586/ERR5862099/c2_c2_L001_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR586/ERR5862099/c2_c2_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR586/ERR5862099/c2_c2_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR586/ERR5862099/c2_c2_L001_R2_001.fastq.gz	FASTQ;FASTQ									C02		RNA sample from pH 7.2 treatment	0	2021-04-30
PRJEB44699	ERP128771	SAMEA8663631	ERS6348166	ERX5507977	ERR5862100	ERA4144795	496922	coral metagenome	ILLUMINA	Illumina MiSeq	unspecified	300	PAIRED	AMPLICON	METATRANSCRIPTOMIC	PCR	291308	83331321	King Abdullah University of Science and Technology	2021-11-04	2021-11-04	Illumina MiSeq paired end sequencing	16S rDNA- and rRNA-based amplicon sequencing to study the effects of ocean acidification on resident and active microbial communities of Stylophora pistillata	ena-STUDY-KAUST-30-04-2021-17:41:10:119-47	ena-EXPERIMENT-KAUST-30-04-2021-17:41:07:158-6	ena-RUN-KAUST-30-04-2021-17:41:07:158-6	16892032;26566319	16b9227d0cc48ffaa19324dd4e3fb8e2;7ffed12f19c63a9667b9d7c3898a3281	ftp.sra.ebi.ac.uk/vol1/fastq/ERR586/000/ERR5862100/ERR5862100_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR586/000/ERR5862100/ERR5862100_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR586/000/ERR5862100/ERR5862100_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR586/000/ERR5862100/ERR5862100_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR586/000/ERR5862100/ERR5862100_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR586/000/ERR5862100/ERR5862100_2.fastq.gz	22068491;33548664	05c08f8013d745716fdd025ba7e3909d;b0dd674bb4ee9597a37c84c8e33ea4f8	ftp.sra.ebi.ac.uk/vol1/run/ERR586/ERR5862100/c3_c3_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR586/ERR5862100/c3_c3_L001_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR586/ERR5862100/c3_c3_L001_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR586/ERR5862100/c3_c3_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR586/ERR5862100/c3_c3_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR586/ERR5862100/c3_c3_L001_R2_001.fastq.gz	FASTQ;FASTQ									C03		RNA sample from pH 7.2 treatment	0	2021-04-30
PRJEB44699	ERP128771	SAMEA8663632	ERS6348167	ERX5507978	ERR5862101	ERA4144795	496922	coral metagenome	ILLUMINA	Illumina MiSeq	unspecified	300	PAIRED	AMPLICON	METATRANSCRIPTOMIC	PCR	426962	123535803	King Abdullah University of Science and Technology	2021-11-04	2021-11-04	Illumina MiSeq paired end sequencing	16S rDNA- and rRNA-based amplicon sequencing to study the effects of ocean acidification on resident and active microbial communities of Stylophora pistillata	ena-STUDY-KAUST-30-04-2021-17:41:10:119-47	ena-EXPERIMENT-KAUST-30-04-2021-17:41:07:158-7	ena-RUN-KAUST-30-04-2021-17:41:07:158-7	25165476;37043234	0abc3d623ad46e99837e9e643cc9ac9b;c890db1ad65c074ae81c29a79d2d1220	ftp.sra.ebi.ac.uk/vol1/fastq/ERR586/001/ERR5862101/ERR5862101_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR586/001/ERR5862101/ERR5862101_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR586/001/ERR5862101/ERR5862101_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR586/001/ERR5862101/ERR5862101_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR586/001/ERR5862101/ERR5862101_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR586/001/ERR5862101/ERR5862101_2.fastq.gz	32053176;46136132	10e734e28dd3b6f24e4f84204f08b4a4;bd24384e290c749dfbb2b42eff53080e	ftp.sra.ebi.ac.uk/vol1/run/ERR586/ERR5862101/c4_c4_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR586/ERR5862101/c4_c4_L001_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR586/ERR5862101/c4_c4_L001_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR586/ERR5862101/c4_c4_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR586/ERR5862101/c4_c4_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR586/ERR5862101/c4_c4_L001_R2_001.fastq.gz	FASTQ;FASTQ									C04		RNA sample from pH 7.4 treatment	0	2021-04-30
PRJEB44699	ERP128771	SAMEA8663633	ERS6348168	ERX5507979	ERR5862102	ERA4144795	496922	coral metagenome	ILLUMINA	Illumina MiSeq	unspecified	300	PAIRED	AMPLICON	METATRANSCRIPTOMIC	PCR	275718	80009556	King Abdullah University of Science and Technology	2021-11-04	2021-11-04	Illumina MiSeq paired end sequencing	16S rDNA- and rRNA-based amplicon sequencing to study the effects of ocean acidification on resident and active microbial communities of Stylophora pistillata	ena-STUDY-KAUST-30-04-2021-17:41:10:119-47	ena-EXPERIMENT-KAUST-30-04-2021-17:41:07:158-8	ena-RUN-KAUST-30-04-2021-17:41:07:158-8	16697891;23851912	058f1d7492551c22c56483176d05f54a;a184c249d5c6d2e579e158f71b84e262	ftp.sra.ebi.ac.uk/vol1/fastq/ERR586/002/ERR5862102/ERR5862102_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR586/002/ERR5862102/ERR5862102_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR586/002/ERR5862102/ERR5862102_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR586/002/ERR5862102/ERR5862102_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR586/002/ERR5862102/ERR5862102_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR586/002/ERR5862102/ERR5862102_2.fastq.gz	21082124;29553959	14cff51d2fd9d67527a9f0db6259465b;5d07ff0e074fa1117dd375853ca334d3	ftp.sra.ebi.ac.uk/vol1/run/ERR586/ERR5862102/c5_c5_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR586/ERR5862102/c5_c5_L001_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR586/ERR5862102/c5_c5_L001_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR586/ERR5862102/c5_c5_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR586/ERR5862102/c5_c5_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR586/ERR5862102/c5_c5_L001_R2_001.fastq.gz	FASTQ;FASTQ									C05		RNA sample from pH 7.4 treatment	0	2021-04-30
PRJEB44699	ERP128771	SAMEA8663634	ERS6348169	ERX5507980	ERR5862103	ERA4144795	496922	coral metagenome	ILLUMINA	Illumina MiSeq	unspecified	300	PAIRED	AMPLICON	METATRANSCRIPTOMIC	PCR	514252	148504092	King Abdullah University of Science and Technology	2021-11-04	2021-11-04	Illumina MiSeq paired end sequencing	16S rDNA- and rRNA-based amplicon sequencing to study the effects of ocean acidification on resident and active microbial communities of Stylophora pistillata	ena-STUDY-KAUST-30-04-2021-17:41:10:119-47	ena-EXPERIMENT-KAUST-30-04-2021-17:41:07:158-9	ena-RUN-KAUST-30-04-2021-17:41:07:158-9	30701969;45674376	62b572f849623ce52483a5b520475cce;46763c81c44ce4cdcf86aed6b6907c6f	ftp.sra.ebi.ac.uk/vol1/fastq/ERR586/003/ERR5862103/ERR5862103_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR586/003/ERR5862103/ERR5862103_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR586/003/ERR5862103/ERR5862103_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR586/003/ERR5862103/ERR5862103_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR586/003/ERR5862103/ERR5862103_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR586/003/ERR5862103/ERR5862103_2.fastq.gz	39091735;56861688	0bbddb19052aaca076e03eb6d65c80dd;311b5aaa65b1670d86034c6bb8622d53	ftp.sra.ebi.ac.uk/vol1/run/ERR586/ERR5862103/c6_c6_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR586/ERR5862103/c6_c6_L001_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR586/ERR5862103/c6_c6_L001_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR586/ERR5862103/c6_c6_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR586/ERR5862103/c6_c6_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR586/ERR5862103/c6_c6_L001_R2_001.fastq.gz	FASTQ;FASTQ									C06		RNA sample from pH 7.4 treatment	0	2021-04-30
PRJEB44699	ERP128771	SAMEA8663635	ERS6348170	ERX5507981	ERR5862104	ERA4144795	496922	coral metagenome	ILLUMINA	Illumina MiSeq	unspecified	300	PAIRED	AMPLICON	METATRANSCRIPTOMIC	PCR	170086	49557465	King Abdullah University of Science and Technology	2021-11-04	2021-11-04	Illumina MiSeq paired end sequencing	16S rDNA- and rRNA-based amplicon sequencing to study the effects of ocean acidification on resident and active microbial communities of Stylophora pistillata	ena-STUDY-KAUST-30-04-2021-17:41:10:119-47	ena-EXPERIMENT-KAUST-30-04-2021-17:41:07:158-10	ena-RUN-KAUST-30-04-2021-17:41:07:158-10	11314089;15938929	71c22fbae42a1e1defa822730b5b8b73;f581f01661e7209ca637648ad01bf9bb	ftp.sra.ebi.ac.uk/vol1/fastq/ERR586/004/ERR5862104/ERR5862104_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR586/004/ERR5862104/ERR5862104_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR586/004/ERR5862104/ERR5862104_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR586/004/ERR5862104/ERR5862104_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR586/004/ERR5862104/ERR5862104_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR586/004/ERR5862104/ERR5862104_2.fastq.gz	14972851;20267013	88bfd380b2b7410456b920e2105d9f08;c58bd7806fd68462864b09ebdf51099b	ftp.sra.ebi.ac.uk/vol1/run/ERR586/ERR5862104/c7_c7_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR586/ERR5862104/c7_c7_L001_R2_001.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR586/ERR5862104/c7_c7_L001_R1_001.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR586/ERR5862104/c7_c7_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR586/ERR5862104/c7_c7_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR586/ERR5862104/c7_c7_L001_R2_001.fastq.gz	FASTQ;FASTQ									C07		RNA sample from pH 7.8 treatment	0	2021-04-30
